ID_patologia,TIPO DE PATOLOGIA,Descripción
A36,OTRAS ENFERMEDADES BACTERIANAS,DIFTERIA
A37,OTRAS ENFERMEDADES BACTERIANAS,TOS FERINA (TOS CONVULSA) COQUELUCHE
A38,OTRAS ENFERMEDADES BACTERIANAS,ESCARLATINA
A39,OTRAS ENFERMEDADES BACTERIANAS,INFECCION MENINGOCOCICA
A40,OTRAS ENFERMEDADES BACTERIANAS,SEPTICEMIA ESTREPTOCOCICA
A41,OTRAS ENFERMEDADES BACTERIANAS,OTRAS SEPTICEMIAS
A42,OTRAS ENFERMEDADES BACTERIANAS,ACTINOMICOSIS
A43,OTRAS ENFERMEDADES BACTERIANAS,NOCARDIOSIS
A44,OTRAS ENFERMEDADES BACTERIANAS,BARTONELOSIS
A46,OTRAS ENFERMEDADES BACTERIANAS,ERISIPELA
A48,OTRAS ENFERMEDADES BACTERIANAS,"OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
A490,OTRAS ENFERMEDADES BACTERIANAS,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN"
A491,OTRAS ENFERMEDADES BACTERIANAS,"INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION"
A499,OTRAS ENFERMEDADES BACTERIANAS,INFECCION BACTERIANA NO ESPECIFICADA
A50,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,SIFILIS CONGENITA
A51,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,SIFILIS PRECOZ
A52,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,SIFILIS TARDIA
A53,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,OTRAS SIFILIS Y LAS NO ESPICIFICADAS
A54,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,INFECCION GONOCOCICA - GONORREA
A55,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A56,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,OTRAS ENFERMEDADES DE TRANSMISION SEXUAL DEBIDAS A CLAMIDIAS
A57,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,CHANCRO BLANDO
A58,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,GRANULOMA INGUINAL
A59,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,TRICOMONIASIS
A60,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,INFECCION ANOGENITAL DEBIDA A VIRUS DEL HERPES (HERPES SIMPLE)
A63,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL
A64,INFECCIONES CON MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65,OTRAS ENFERMEDADES DEBIDAS A ESPIROQUETAS,SIFILIS NO VENEREA
A66,OTRAS ENFERMEDADES DEBIDAS A ESPIROQUETAS,FRAMBESIA
A67,OTRAS ENFERMEDADES DEBIDAS A ESPIROQUETAS,PINTA (CARATE)
A68,OTRAS ENFERMEDADES DEBIDAS A ESPIROQUETAS,FIEBRES RECURRENTES
A69,OTRAS ENFERMEDADES DEBIDAS A ESPIROQUETAS,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
A70,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS,INFECCION DEBIDA A CHLAMYDIA PSITTACI
A71,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS,TRACOMA
A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A75,RICKETTSIOSIS,TIFUS
A77,RICKETTSIOSIS,FIEBRE MACULOSA (RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS _)
A78,RICKETTSIOSIS,FIEBRE Q
A79,RICKETTSIOSIS,OTRAS RICKETTSIOSIS
A80,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,POLIOMIELITIS AGUDA
A81,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,INFECCONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS LENTO
A82,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,RABIA
A83,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A84,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A85,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,"OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE"
A86,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,"ENCEFALITIS VIORAL, NO ESPECIFICADA"
A87,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,MENINGITIS VIRAL
A88,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL
A89,INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL,"INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA"
A90,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,FIEBRE DEL DENGUE (DENGUE CLASICO)
A91,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,FIEBRE DEL ENGUE HEMORRAGICO
A92,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,OTRAS FIEBRES VIRALES TRANSMITIDAS POR MOSQUITOS
A93,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,"OTRAS FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS, NO CLASIFICADAS EN OTRA PARTE"
A94,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,"FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA"
A95,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,FIEBRE AMARILLA
A96,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,FIEBRE HEMORRAGICA POR ARENAVIRUS -ARGENTINA
A97,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,DENGUE
A98,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,"OTRAS FIEBRES VIRALES HEMORRAGICAS, NO CLASIFICADAS EN OTRA PARTE"
A99,FIEBRES VIRALES TRANSMITIDAS POR ARTROPODOS Y FIEBRES VIRALES HEMORRAGICAS,"FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA"
B00,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,INFECCONES HERPETICAS (HERPES SIMPLE)
B01,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,VARICELA
B02,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,HERPES ZOSTER
B03,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,VIRUELA
B04,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,VIRUELA DE LOS MONOS
B05,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,SARAMPION
B06,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,RUBEOLA (SARAMPION ALEMAN)
B07,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,VERRUGAS VIRICAS
B08,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,INFECCIONES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MENBRANAS MUCOSAS
B084,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,ENFERMEDAD DE BOCA-MANO-PIE
B09,INFECCIONES VIRALES CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS,"INFECCION VIRAL NO ESPECIFICADA, CARACT. LESIONES DE PIEL Y MEMBRANAS MUCOSAS"
B15,HEPATITIS VIRAL,HEPATITIS AGUDA TIPO A
B16,HEPATITIS VIRAL,HEPATITIS AGUDA TIPO B
B17,HEPATITIS VIRAL,OTRAS HEPATITIS VIRALES AGUDAS
B18,HEPATITIS VIRAL,HEPATITIS VIRAL CRONICA
B19,HEPATITIS VIRAL,"HEPÀTITIS VIRAL, SIN OTRA ESPECIFICACION"
B24,ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA ( HIV ),ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) SIN OTRA ESPECIFICACION
B25,OTRAS ENFERMEDADES VIRALES,ENFERMEDAD DEBIDA A VIRUS CITOMEGALICO
B26,OTRAS ENFERMEDADES VIRALES,PAROTIDITIS INFECCIOSA - PAPERAS
B27,OTRAS ENFERMEDADES VIRALES,MONONUCLEOSIS INFECCIOSA
B30,OTRAS ENFERMEDADES VIRALES,CONJUNTIVITIS VIRAL
B33,OTRAS ENFERMEDADES VIRALES,"OTRAS ENFERMEDADES VIRALES, NO CLASIFICADAS EN OTRA PARTE"
B34,OTRAS ENFERMEDADES VIRALES,INFECCION VIRAL DE SITIO NO ESPECIFICADO
B35,MICOSIS,DERMATOFITOSIS
B36,MICOSIS,OTRAS MICOSIS SUPERFICIALES
B37,MICOSIS,CANDIDIASIS
B373,MICOSIS,CANDIDIASIS DE LA VULVA Y DE LA VAGINA
B49,MICOSIS,"MICOSIS, NO ESPECIFICADA"
B54,ENFERMEDADES DEBIDAS A PROTOZOARIOS,PALUDISMO (MALARIA) NO ESPECIFICADO
B550,ENFERMEDADES DEBIDAS A PROTOZOARIOS,LEIISHMANIASIS VISCERAL
B551,ENFERMEDADES DEBIDAS A PROTOZOARIOS,LEISHMANIASIS CUTANEA
B559,ENFERMEDADES DEBIDAS A PROTOZOARIOS,"LEISHMANIASIS, NO ESPECIFICADA"
B56,ENFERMEDADES DEBIDAS A PROTOZOARIOS,TRIPANOSOMIASIS AFRICANA
B570,ENFERMEDADES DEBIDAS A PROTOZOARIOS,ENFERMEDAD DE CHAGAS AGUDO
B572,ENFERMEDADES DEBIDAS A PROTOZOARIOS,ENFERMEDAD DE CHAGAS CRONICO
B58,ENFERMEDADES DEBIDAS A PROTOZOARIOS,TOXOPLASMOSIS
B59,ENFERMEDADES DEBIDAS A PROTOZOARIOS,NEUMOCISTOSIS
B60,ENFERMEDADES DEBIDAS A PROTOZOARIOS,"OTRAS ENFERMEDADES DEBIDAS A PROTOZOARIOS,NO CLASIFICADOS EN OTRA PARTE"
B64,ENFERMEDADES DEBIDAS A PROTOZOARIOS,"ENFERMEDAD DEBIDA A PROTOZOARIOS,NO ESPECIFICADAS"
B65,HELMINTIASIS,ESQUISTOSOMIASIS (BILHARZIASIS)
B66,HELMINTIASIS,OTRAS INFECCIONES DEBIDAS A TREMATODOS
B67,HELMINTIASIS,EQUINOCOCOSIS
B68,HELMINTIASIS,TENIASIS
B69,HELMINTIASIS,CISTICERCOSIS
B70,HELMINTIASIS,DIFILOBOTRIASIS Y ESPARGANOSIS
B71,HELMINTIASIS,OTRAS INFECCIONES DEBIDAS A CESTODOS - HIMENOLEPIASIS
B72,HELMINTIASIS,DRACONTIASIS
B73,HELMINTIASIS,ONCOCERCOSIS
B74,HELMINTIASIS,FILARIASIS
B75,HELMINTIASIS,TRIQUINOSIS
B76,HELMINTIASIS,ANQUILOSTOMIASIS Y NECATORIASIS
B77,HELMINTIASIS,ASCARIASIS
B78,HELMINTIASIS,ESTRONGILOIDIASIS
B79,HELMINTIASIS,TRICURIASIS
B80,HELMINTIASIS,ENTEROBIASIS
B81,HELMINTIASIS,"OTRAS HELMINTIASIS INTESTINALES,NO CLASIFICADAS EN OTRA PARTE"
B82,HELMINTIASIS,"PARASITOSIS INTESTINALES,SIN OTRA ESPECIFICACION"
B83,HELMINTIASIS,OTRAS HELMINTIASIS
B85,PEDICULOSIS. ACARIASIS Y OTRAS MANIFESTACIONES,PEDICULOSIS Y PITHIRIASIS - LADILLA
B86,PEDICULOSIS. ACARIASIS Y OTRAS MANIFESTACIONES,ESCABIOSIS - SARNA
B87,PEDICULOSIS. ACARIASIS Y OTRAS MANIFESTACIONES,MIASIS
B88,PEDICULOSIS. ACARIASIS Y OTRAS MANIFESTACIONES,OTRAS INFESTACIONES
B89,PEDICULOSIS. ACARIASIS Y OTRAS MANIFESTACIONES,"ENFERMEDAD PARASITARIA,NO ESPECIFICADA"
B90,SECUELAS DE ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SECUELAS DE TUBERCULOSIS
B91,SECUELAS DE ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SECUELAS DE POLIOMIELITIS
B92,SECUELAS DE ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SECUELAS DE LEPRA
B94,SECUELAS DE ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SECUELAS DE OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
C80,TUMORES MALIGNOS DE SITIOS MAL DEFINIDOS SECUNDARIOS Y DE SITIOS NO ESPECIFICADOS,TUMOR MALIGNO
D05,TUMORES ( NEOPLASIAS ) IN SITU,CARCICOMA IN SITU DE LA MAMA
D06,TUMORES ( NEOPLASIAS ) IN SITU,CARCICOMA IN SITU DEL CUELLO DEL UTERO
D07,TUMORES ( NEOPLASIAS ) IN SITU,CARCICOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS
D09,TUMORES ( NEOPLASIAS ) IN SITU,CARCICOMA IN SITU DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D25,TUMORES ( NEOPLASIAS ) IN SITU,LEIOMIOMA DEL UTERO
D36,TUMORES ( NEOPLASIA ) BENIGNOS,TUMOR BENIGNO DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS
D50,ANEMIAS NUTRICIONALES,ANEMIAS POR DEFICIENCIA DE HIERRO
D51,ANEMIAS NUTRICIONALES,ANEMIA POR DEFICIENCIA DE VITAMINA B12
D52,ANEMIAS NUTRICIONALES,ANEMIA POR DEFICIENCIA DE FOLATOS
D53,ANEMIAS NUTRICIONALES,OTRAS ANEMIAS NUTRICIONALES
D55,ANEMIAS HEMOLITICAS,ANEMIA DEBIDA A TRASTORNOS ENZIMATICOS
D58,ANEMIAS HEMOLITICAS,OTRAS ANEMIAS HEMOLITICAS HEREDITARIAS
D59,ANEMIAS HEMOLITICAS,ANEMIA HEMOLITICA ADQUIRIDA
D60,ANEMIAS APLASTICAS Y OTRAS ANEMIAS,"APLASIA ADQUIRIDA, EXCLUSIVA DE LA SERIE ROJA (ERITROBLASTOPENIA)"
D63,ANEMIAS APLASTICAS Y OTRAS ANEMIAS,ANEMIA EN ENFERMEDADES CRONICAS CLASIFICADAS EN OTRA PARTE
D64,ANEMIAS APLASTICAS Y OTRAS ANEMIAS,OTRAS ANEMIAS
D69,"DEFECTOS DE LA COAGULACION, PURPURA Y OTRAS AFECCIONES HEMORRAGICAS",PURPURA Y OTRAS AFECCIONES HEMORRAGICAS
D89,CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD,"TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD, NO CLASIFICADOS"
E03,TRASTORNOS DE LA GLANDULA TIROIDES,HIPOTIROIDISMO
E04,TRASTORNOS DE LA GLANDULA TIROIDES,BOCIO NO TOXICO
E05,TRASTORNOS DE LA GLANDULA TIROIDES,TIROTOXICOSIS (HIPERTIROIDISMO)
E06,TRASTORNOS DE LA GLANDULA TIROIDES,TIROIDITIS
E07,TRASTORNOS DE LA GLANDULA TIROIDES,OTROS TRASTORNOS TIROIDEOS
E10,DIABETES MELLITUS,DIABETES MELLITUS INSULINODEPENDIENTE
E11,DIABETES MELLITUS,DIABETES MELLITUS NO INSULINODEPENDIENTE
E12,DIABETES MELLITUS,DIABETES MELLITUS ASOCIADA CON DESNUTRICION
E14,DIABETES MELLITUS,"DIABETES MELLITUS, NO ESPECIFICADA"
E29,DISFUNCIÓN TESTICULAR,"DISFUNCIÓN TESTICULAR, NO ESPECIFICADA"
E30,TRASTORNOS DE OTRAS GLANDULAS ENDOCRINAS,"TRASTORNOS DE LA PUBERTAD, NO CLASIFICADOS EN OTRA PARTE"
E40,DESNUTRICION,KWASHIORKOR
E41,DESNUTRICION,MARASMO NUTRICIONAL
E42,DESNUTRICION,KWASHIORKOR MARASMATICO
E43,DESNUTRICION,DESNUTRICION PROTEICOCALORICA SEVERA. GIII
E440,DESNUTRICION,DESNUTRICION PROTEICOCALORICA MODERADA GII
E441,DESNUTRICION,DESNUTRICION PROTEICOCALORICA LEVE. GI
E45,DESNUTRICION,RETARDO DEL DESARROLLO DEBIDO A DESNUTRICION PROTEICOCALORICA
E46,DESNUTRICION,"DESNUTRICION PROTEICOCALORICA, NO ESPECIFICADA"
E55,OTRAS DEFICIENCIAS NUTRICIONALES,DEFICIENCIA DE VITAMINA D - RAQUITIDISMO
E56,OTRAS DEFICIENCIAS NUTRICIONALES,OTRAS DEFICIENCIAS DE VITAMINAS
E65,OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACION,ADIPOSIDAD LOCALIZADA
E66,OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACION,OBESIDAD
E67,OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACION,OTROS TIPOS DE HIPERALIMENTACION
E68,OBESIDAD Y OTROS TIPOS DE HIPERALIMENTACION,SECUELAS DE HIPERALIMENTACION
E73,TRASTORNOS METABOLICOS,INTOLERANCIA DE LA LACTOSA
E78,TRASTORNOS METABOLICOS,TRASTORNOS DEL METABOLISMO DE LAS LIPOPROTEINAS Y OTRAS LIPIDEMIAS
E85,TRASTORNOS METABOLICOS,AMILOIDISIS
E86,TRASTORNOS METABOLICOS,DEPLECION DEL VOLUMEN - DESHIDRATACION (EXCLUYE DEBIDA A DIARREA)
E87,TRASTORNOS METABOLICOS,"OTROS TRASTORNOS DE LOS LIQUIDOS, DE LOS ELECTROLITOS Y DEL EQUILIBRIO ACIDO-BASICO"
E88,TRASTORNOS METABOLICOS,OTROS TRASTORNOS METABOLICOS
F00,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER
F03,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS","DEMENCIA , NO ESPECIFICADA"
F09,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS","TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO"
F10,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",ALCOHOLISMO
F100,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA
F101,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO
F102,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA
F103,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA
F108,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",OTROS TRASTORNOS DEBIDOS AL USO DEL ALCOHOL
F11,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS
F12,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES
F13,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS
F14,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA
F15,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES
F16,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS
F17,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL TABACO
F18,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES
F19,"TRASTORNOS MENTALES ORGANICOS, INCLUIDOS LOS TRASTORNOS SINTOMATICOS",TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS
F20,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",ESQUIZOFRENIA
F21,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",TRASTORNO ESQUIZOTIPICO
F22,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",TRASTORNOS DELIRANTES PERSISTENTES
F23,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS
F24,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",TRASTORNO DELIRANTE INDUCIDO
F25,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",TRASTORNO ESQUIZOAFECTIVOS
F28,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES",OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO
F29,"ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES","PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA"
F30,TRASTORNOS DEL HUMOR ( AFECTIVOS ),EPISODIO MANIACO
F31,TRASTORNOS DEL HUMOR ( AFECTIVOS ),TRASTORNO AFECTIVO BIPOLAR
F32,TRASTORNOS DEL HUMOR ( AFECTIVOS ),EPISODIO DEPRESIVO
